FEATURE	FORM	READ_BY	STATUS	ADD_READS
MultipleMarker	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleRotatorAttribute	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleSensor	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleSfx	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleTimer	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleVectorAttribute	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
MultipleVfx	-	-	OUT_OF_SCOPE	Multiple* bulk-add container
PathNetwork	alias	FProcessor_PathNetwork_HandleRequests	PER_FIELD	Ribbons
PathNetworkFollower	alias	FProcessor_PathNetworkFollower_HandleRequests,FProcessor_PathNetworkFollower_InvalidateOnRebuild	MANUAL	-
Pmg_Donut	wrapper	-	SETUP_BAKED	-
Poi	none	-	VIA_REBUILD	Category,Label
PoiDisplayDefinition	alias	-	SETUP_BAKED	Consumer,SizeHint,Tint
PredictedVelocity	wrapper	-	SETUP_BAKED	-
Probe	alias	FProcessor_Probe_EndPlay,FProcessor_Probe_EnsureStaticNotMoved_DEBUG	REGISTERED	MotionQuality,MotionType,ProbeName,StartingState
Projectile	none	-	VIA_REBUILD	AccelerationParams,AutoReorientParams,VelocityParams
RaySense	alias	FProcessor_RaySense_BoxSweep_Update,FProcessor_RaySense_CapsuleSweep_Update	BARE_OK	-
RenderStatus	wrapper	-	SETUP_BAKED	RenderGroup
RenderTarget	alias	FProcessor_RenderTarget_ApplyClientBatches,FProcessor_RenderTarget_ClientNetMaintenance	PER_FIELD	SyncName
ResolverDataBundle	wrapper	FProcessor_ResolverDataBundle_Calculate,FProcessor_ResolverDataBundle_StartNewPhase	MANUAL	-
ResolverSource	wrapper	FProcessor_ResolverSource_HandleRequests	REGISTERED	-
ResolverTarget	wrapper	-	SETUP_BAKED	-
RewindHistory	alias	FProcessor_RewindHistory_Record	PER_FIELD	HitShapes
RotatorAttribute	none	-	VIA_REBUILD	BaseValue,MaxValue,MinMax,MinValue,Name
RotatorAttributeModifier	none	-	VIA_REBUILD	-
Sensor	wrapper	FProcessor_Sensor_EndPlay,FProcessor_Sensor_HandleRequests	PER_FIELD	SensorName
Sfx	wrapper	FProcessor_Sfx_HandleRequests	PER_FIELD	Name
ShapeBox	alias	FProcessor_ShapeBox_HandleRequests	PER_FIELD	InitialDimensions
ShapeCapsule	alias	FProcessor_ShapeCapsule_HandleRequests	PER_FIELD	InitialDimensions
ShapeCylinder	alias	FProcessor_ShapeCylinder_HandleRequests	PER_FIELD	InitialDimensions
ShapeSphere	alias	FProcessor_ShapeSphere_HandleRequests	PER_FIELD	InitialDimensions
Spline	alias	-	SETUP_BAKED	Curves
StateMachine	none	-	VIA_REBUILD	InitialStateClass
Timer	alias	FProcessor_Timer_HandleRequests,FProcessor_Timer_Update	REGISTERED	CountDirection,Duration,StartingState,TimerName
Tween	alias	FProcessor_Tween_ApplyToTransform,FProcessor_Tween_HandleYoyoDelays	MANUAL	-
UnrealComponent	alias	-	SETUP_BAKED	ComponentClass,DebugName
VatProxy	alias	FProcessor_VatProxy_FireSignals,FProcessor_VatProxy_HandleRequests	PER_FIELD	Collection
VectorAttribute	none	-	VIA_REBUILD	BaseValue,MaxValue,MinMax,MinValue,Name
VectorAttributeModifier	none	-	VIA_REBUILD	-
Velocity	wrapper	FProcessor_BulkVelocityModifier_AddNewTargets	PER_FIELD	StartingVelocity,VelocityMinMax
VelocityModifier	none	-	VIA_REBUILD	-
Velocity_MinMax	none	-	VIA_REBUILD	-
Vfx	wrapper	-	SETUP_BAKED	Name
VfxCue	alias	-	SETUP_BAKED	-
VisibleRange	alias	FProcessor_VisibleRange_Update_Bucket	PER_FIELD	UpdateInterval
VoiceChannel	alias	FProcessor_VoiceChannel_AssignIdx	PER_FIELD	ChannelName
VoiceTalker	alias	FProcessor_VoiceTalker_Capture,FProcessor_VoiceTalker_HandleRequests	BARE_OK	-
VoxelNavOccluder	alias	FProcessor_VoxelNavOccluder_Track	PER_FIELD	HalfExtentsUu
VoxelNavPath	alias	FProcessor_CrowdAgent_OnVoxelPathResolved,FProcessor_VoxelNavPath_HandleRequests	PER_FIELD	AgentRadiusUu
VoxelNavVolume	alias	FProcessor_VoxelNavVolume_Build,FProcessor_VoxelNavVolume_HandleRequests	PER_FIELD	ChunkPartitioning
WorldSpaceWidget	alias	FProcessor_WorldSpaceWidget_EndPlay,FProcessor_WorldSpaceWidget_HandleRequests	MANUAL	-
X	alias	-	SETUP_BAKED	-
